steamId,name,genres,release_date,languages
794580,SNK HEROINES Tag Team Frenzy,['Action'],02-21-2019,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Korean', 'Spanish - Latin America']"
446460,Highland Warriors,['Strategy'],03-04-2016,"['English', 'German']"
913060,Jet Lancer,"['Action', 'Indie']",05-12-2020,"['English', 'Russian', 'French', 'German', 'Simplified Chinese', 'Japanese']"
989550,Million Arthur: Arcana Blood,['Action'],06-20-2019,"['English', 'Japanese']"
667040,Alicia Quatermain 2: The Stone of Fate,"['Casual', 'Indie', 'Strategy']",07-03-2018,"['English', 'German', 'Dutch', 'Japanese', 'Russian']"
386840,Sentinel 4: Dark Star,"['Indie', 'Strategy']",08-13-2015,['English']
740090,Lost Grimoires 3: The Forgotten Well,"['Adventure', 'Casual']",12-14-2017,"['English', 'French', 'Italian', 'German', 'Japanese', 'Korean', 'Polish', 'Russian', 'Simplified Chinese']"
632900,Serment - Contract with a Devil,['RPG'],02-01-2019,['English']
645450,Gravity Quest,"['Adventure', 'Casual', 'Indie']",06-23-2017,['English']
1046660,Charterstone: Digital Edition,"['Casual', 'Indie', 'Simulation', 'Strategy']",03-26-2020,"['English', 'French', 'German', 'Simplified Chinese', 'Dutch', 'Polish', 'Italian']"
761190,1010,"['Indie', 'Simulation', 'Strategy']",12-13-2017,['English']
769690,Reading Simulator,"['Indie', 'Simulation']",12-29-2017,['English']
338110,Khaba,"['Adventure', 'Casual']",01-12-2015,"['English', 'German', 'Korean', 'Simplified Chinese']"
946650,Streets of Red : Devil's Dare Deluxe,"['Action', 'Indie']",02-22-2019,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese', 'Japanese', 'Simplified Chinese']"
717310,Aggelos,"['Action', 'Adventure', 'Indie', 'RPG']",06-19-2018,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian']"
1102100,TINY METAL: FULL METAL RUMBLE,"['Indie', 'Simulation', 'Strategy']",07-11-2019,"['English', 'Japanese', 'French', 'German', 'Spanish - Spain']"
404270,All My Gods,"['Adventure', 'Casual', 'Simulation', 'Strategy']",10-13-2015,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian']"
1033420,9-nine-:Episode 2,"['Action', 'Casual', 'Simulation']",08-16-2019,"['English', 'Japanese', 'Traditional Chinese']"
525910,Cockroach VR,"['Casual', 'Indie']",09-08-2016,['English']
888260,Dabman: When the Haters Dab Back,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",07-05-2018,['English']
424760,Bladestar,['Action'],01-15-2016,['English']
434920,Last Heroes 2,"['Adventure', 'Casual', 'Indie', 'RPG']",01-22-2016,['English']
493320,Killing Time,['Action'],12-15-2016,['English']
890500,Love ritual,"['Casual', 'Indie', 'Simulation']",04-09-2019,"['English', 'Spanish - Spain', 'Russian']"
910450,Warhammer Quest 2: The End Times,"['Adventure', 'Strategy']",01-30-2019,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Traditional Chinese']"
648580,428: Shibuya Scramble,['Adventure'],09-04-2018,['English']
800620,Fallen Hero: Rebirth,"['Adventure', 'Indie', 'RPG']",03-15-2018,['English']
1076210,Who wants to strip this babe? Hentai Streamer Girl,"['Casual', 'Indie']",05-30-2019,"['English', 'Russian']"
649990,Writers,"['Casual', 'Indie']",11-20-2017,['English']
658430,Professor Watts Word Search: Into The Ocean,"['Casual', 'Indie', 'Strategy']",07-16-2017,['English']
416640,Diabolical,"['Indie', 'RPG']",11-06-2015,['English']
520610,Drive on Moscow,['Strategy'],10-27-2016,"['English', 'German']"
796620,X Mushrooms,"['Action', 'Adventure', 'Indie', 'RPG']",03-13-2018,"['English', 'Russian', 'Japanese']"
1055140,10-4 Indirect Contact,"['Indie', 'Strategy']",04-15-2019,"['English', 'Simplified Chinese']"
575940,The Tenth Line,"['Indie', 'RPG']",03-17-2017,['English']
961490,Travis Strikes Again: No More Heroes Complete Edition,['Action'],10-17-2019,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Portuguese - Brazil']"
1058320,Toki,['Adventure'],06-07-2019,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Traditional Chinese', 'Dutch', 'Portuguese', 'Russian']"
833910,Overchunked,"['Action', 'Casual', 'Indie']",04-12-2018,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Russian', 'Simplified Chinese', 'Portuguese - Brazil', 'Czech', 'Danish', 'Ukrainian', 'Korean', 'Norwegian', 'Polish']"
1250560,Chess Sudoku,"['Casual', 'Indie', 'Strategy']",03-02-2020,['English']
940680,The Textorcist: The Story of Ray Bibbia,"['Action', 'Indie']",02-14-2019,['English']
867140,WIN THE GAME: WTF!,"['Adventure', 'Casual', 'Indie']",06-06-2018,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Portuguese - Brazil', 'Hungarian', 'Greek', 'Danish', 'Traditional Chinese', 'Simplified Chinese', 'Korean', 'Dutch', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Thai', 'Turkish', 'Ukrainian', 'Finnish', 'Czech', 'Swedish', 'Japanese']"
882670,Nono's magic general shop,"['Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']",09-28-2018,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']"
329630,Command HQ,['Strategy'],11-06-2014,['English']
938310,12 Labours of Hercules VIII: How I Met Megara,"['Adventure', 'Strategy']",12-26-2018,"['English', 'French', 'German', 'Russian']"
1078330,Liz ~The Tower and the Grimoire~,"['Indie', 'RPG']",02-13-2020,"['English', 'Simplified Chinese', 'Japanese']"
462590,Taekwondo Grand Prix,"['Action', 'Sports']",10-09-2018,['English']
757200,EMERGENCY 3,"['Simulation', 'Strategy']",12-19-2017,"['English', 'German', 'French', 'Italian', 'Spanish - Spain']"
639490,Umineko When They Cry - Answer Arcs,['Adventure'],11-17-2017,"['English', 'Japanese']"
370150,LOOP: A Tranquil Puzzle Game,"['Casual', 'Indie']",05-22-2015,['English']
1156730,Holy Knight Luviria,"['Indie', 'RPG']",11-14-2019,"['English', 'Japanese', 'Simplified Chinese']"
1197370,Suite 776,"['Action', 'Adventure', 'Indie']",12-06-2019,['English']
977690,Skyworld: Kingdom Brawl,"['Indie', 'Strategy']",04-02-2019,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese']"
877260,Retro Snake,"['Casual', 'Indie']",06-20-2018,['English']
1018000,Anniversary Collection Arcade Classics,"['Action', 'Casual']",04-18-2019,"['English', 'Japanese']"
1015130,WOUNDED,"['Action', 'Adventure', 'Indie']",02-28-2019,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Swedish']"
1006270,oldbI tyt ?,"['Action', 'Indie', 'Strategy']",01-11-2019,['English']
922530,Bestiary of Sigillum,['Strategy'],01-22-2019,"['English', 'Russian']"
